"Year","State","Percent of bachelor's degree or higher","Percentage of cig user","Percentage of E-cig user","E-cig existence","E-cig ratio"
2017,"Montana",32.3,21.23,4.29,TRUE,0.168103448275862
2017,"Nebraska",31.7,17.6681818181818,3.76363636363636,TRUE,0.175609756097561
2017,"Nevada",24.9,18.0909090909091,5.43636363636364,TRUE,0.231066460587326
2017,"New Hampshire",36.9,18.46,6.56,TRUE,0.262190247801759
2017,"New Jersey",39.7,13.9409090909091,4.66818181818182,TRUE,0.25085490962384
2017,"New Mexico",27.1,18.2380952380952,4.82380952380952,TRUE,0.209167871154243
2017,"New York",36,14.8409090909091,3.55909090909091,TRUE,0.193428853754941
2017,"North Carolina",31.3,17.2727272727273,4.45,TRUE,0.204854572086211
2017,"North Dakota",30.7,21.2190476190476,4.82380952380952,TRUE,0.185225818248309
2017,"Ohio",28,24.4954545454545,5.93181818181818,TRUE,0.194950702121303
2017,"Oklahoma",25.5,21.5863636363636,7.21818181818182,TRUE,0.250591762663721
2017,"Oregon",33.7,17.8590909090909,4.58181818181818,TRUE,0.204172574437918
2017,"Pennsylvania",31.4,19.5333333333333,4.32857142857143,TRUE,0.181400917980443
2017,"Puerto Rico",25.7,11.1388888888889,1.05555555555556,TRUE,0.0865603644646925
2017,"Rhode Island",33.5,17.0142857142857,4.82380952380952,TRUE,0.220889664195377
2017,"South Carolina",28,20.6954545454545,4.04545454545454,TRUE,0.163512768693735
2017,"South Dakota",28.1,21.82,4.535,TRUE,0.172073610320622
2017,"Tennessee",27.3,25.0333333333333,5.88571428571429,TRUE,0.190358847990143
2017,"Texas",29.6,16.1954545454545,4.77727272727273,TRUE,0.227785002167317
2017,"Utah",34.6,10.9909090909091,5.39090909090909,TRUE,0.329078801331853
2017,"Vermont",38.3,18.81,4.12,TRUE,0.179677278674226
2017,"Virginia",38.7,17.6772727272727,5.04545454545455,TRUE,0.222044408881776
2017,"Washington",35.5,14.9045454545455,4.31363636363636,TRUE,0.22445600756859
2017,"West Virginia",20.2,28.3684210526316,5.65263157894737,TRUE,0.16615099009901
2017,"Wisconsin",30.4,17.9363636363636,4.85454545454545,TRUE,0.213003589948145
2017,"Wyoming",27.6,20.77,5.84,TRUE,0.219466366027809
2018,"Alabama",24.9,21.1238095238095,NA,FALSE,NA
2018,"Alaska",29.2,21.9285714285714,5.91428571428571,TRUE,0.212416623909697
2018,"Arizona",28.9,14.8227272727273,NA,FALSE,NA
2018,"Arkansas",22.6,24.1142857142857,6.6047619047619,TRUE,0.215005425515424
2018,"California",33.3,11.9272727272727,NA,FALSE,NA
2018,"Colorado",40.1,16.2454545454545,NA,FALSE,NA
2018,"Connecticut",38.9,13.3428571428571,5.40476190476191,TRUE,0.288290576581153
2018,"Delaware",31.4,17.1904761904762,4.86666666666667,TRUE,0.220639032815199
2018,"District of Columbia",57.6,15.7952380952381,NA,FALSE,NA
2018,"Florida",29.2,15.0636363636364,6.19545454545455,TRUE,0.291426127859739
2018,"Georgia",30.7,16.65,5.08636363636364,TRUE,0.234002509410289
2018,"Hawaii",32.5,14.7666666666667,7.64761904761905,TRUE,0.341193966432972
2018,"Idaho",26.9,15.6157894736842,6.22105263157895,TRUE,0.284887924801157
2018,"Illinois",34.1,15.7714285714286,NA,FALSE,NA
2018,"Indiana",25.9,21.9818181818182,6.73636363636364,TRUE,0.234567901234568
2018,"Iowa",28.2,18.3190476190476,5.39047619047619,TRUE,0.227354890540269
2018,"Kansas",32.9,19.3727272727273,NA,FALSE,NA
2018,"Kentucky",23.6,25.2047619047619,NA,FALSE,NA
2018,"Louisiana",23.7,21.3,5.73333333333333,TRUE,0.212083847102343
2018,"Maine",30.9,21.075,NA,FALSE,NA
2018,"Maryland",39.6,13.4909090909091,4.31818181818182,TRUE,0.242470648289944
2018,"Massachusetts",42.9,14.6571428571429,5.86666666666667,TRUE,0.28584686774942
2018,"Michigan",28.6,21.7545454545455,NA,FALSE,NA
2018,"Minnesota",35.4,18.1454545454545,5.66818181818182,TRUE,0.238022523382325
2018,"Mississippi",21.8,21.3578947368421,5.53684210526316,TRUE,0.20587084148728
2018,"Missouri",28.6,21.8095238095238,5.435,TRUE,0.199489630943746
2018,"Montana",31.2,20.93,5.27,TRUE,0.201145038167939
2018,"Nebraska",31.3,17.7181818181818,5.45909090909091,TRUE,0.235536379682291
2018,"Nevada",24.2,15.7571428571429,NA,FALSE,NA
2018,"New Hampshire",36.5,18.5578947368421,5.42105263157895,TRUE,0.226075504828797
2018,"New Jersey",38.9,13.5761904761905,NA,FALSE,NA
2018,"New Mexico",27.1,15.9285714285714,NA,FALSE,NA
2018,"New York",35.9,13.7272727272727,5.29090909090909,TRUE,0.278202676864245
2018,"North Carolina",30.5,18.1272727272727,4.94285714285714,TRUE,0.214253546498536
2018,"North Dakota",29.5,22.1857142857143,6.02380952380952,TRUE,0.213538149898717
2018,"Ohio",27.8,22.9590909090909,6.61363636363636,TRUE,0.223639717184138
2018,"Oklahoma",25.2,20.1272727272727,NA,FALSE,NA
2018,"Oregon",32.9,16.9818181818182,6.01904761904762,TRUE,0.261687871715727
2018,"Pennsylvania",30.8,17.8619047619048,NA,FALSE,NA
2018,"Puerto Rico",25.3,10.0444444444444,NA,FALSE,NA
